t,u,theta,phi
1.92,-0.5235988,0.2808116,0.5201294
1.93,-0.5235988,0.2851743,0.5249918
1.94,-0.5235988,0.2876312,0.5249918
1.95,-0.5235988,0.2879416,0.5249918
1.96,-0.5235988,0.2871246,0.5201294
1.97,-0.5235988,0.2851656,0.5249918
1.98,-0.5235988,0.2816366,0.5249918
1.99,-0.5235988,0.2760429,0.5249918
2,-0.5235988,0.2685225,0.5249918
2.01,-0.5235988,0.2594762,0.5249918
2.02,-0.5235988,0.2497988,0.5249918
2.03,-0.5235988,0.2387929,0.5249918
2.04,-0.5235988,0.2260529,0.5249918
2.05,-0.5235988,0.2117134,0.5249918
2.06,-0.5235988,0.1957961,0.5249918
2.07,-0.5235988,0.1794146,0.5201294
2.08,-0.5235988,0.1624878,0.5249918
2.09,-0.5235988,0.1442749,0.5249918
2.1,-0.5235988,0.1249931,0.5201294
2.11,-0.5235988,0.1045229,0.5201294
2.12,-0.5235988,0.08393804,0.5249918
2.13,-0.5235988,0.06342385,0.5249918
2.14,-0.5235988,0.04266096,0.5249918
2.15,-0.5235988,0.02134455,0.5249918
2.16,-0.5235988,-0.0001201503,0.5249918
2.17,-0.5235988,-0.0225312,0.5249918
2.18,-0.5235988,-0.04352613,0.5249918
2.19,-0.5235988,-0.06386306,0.5249918
2.2,-0.5235988,-0.08388582,0.5249918
2.21,-0.5235988,-0.1043009,0.5249918
2.22,-0.5235988,-0.124201,0.5249918
2.23,-0.5235988,-0.1422053,0.5249918
2.24,-0.5235988,-0.1598676,0.5249918
2.25,-0.5235988,-0.176194,0.5249918
2.26,-0.5235988,-0.1916389,0.5249918
2.27,-0.5235988,-0.2069041,0.5249918
2.28,-0.5235988,-0.220679,0.5249918
2.29,-0.5235988,-0.2325559,0.5249918
2.3,-0.5235988,-0.2426976,0.5249918
2.31,-0.5235988,-0.2517838,0.5249918
2.32,-0.5235988,-0.2599555,0.5249918
2.33,-0.5235988,-0.266845,0.5249918
2.34,-0.5235988,-0.2719836,0.5249918
2.35,-0.5235988,-0.2747588,0.5249918
2.36,-0.5235988,-0.2758754,0.5249918
2.37,-0.5235988,-0.2755675,0.5249918
2.38,-0.5235988,-0.2743116,0.5249918
2.39,-0.5235988,-0.2716732,0.5201294
2.4,-0.5235988,-0.2668878,0.5249918
2.41,-0.5235988,-0.2601592,0.5249918
2.42,-0.5235988,-0.25227,0.5249918
2.43,-0.5235988,-0.2432856,0.5249918
2.44,-0.5235988,-0.2331799,0.5249918
2.45,-0.5235988,-0.2214719,0.5249918
2.46,-0.5235988,-0.2082939,0.5249918
2.47,-0.5235988,-0.1936607,0.5249918
2.48,-0.5235988,-0.1783273,0.5249918
2.49,-0.5235988,-0.1623145,0.5249918
2.5,-0.5235988,-0.145217,0.5249918
2.51,-0.5235988,-0.1271368,0.5249918
2.52,-0.5235988,-0.108253,0.5249918
2.53,-0.5235988,-0.08861087,0.5249918
2.54,-0.5235988,-0.0689237,0.5201294
2.55,-0.5235988,-0.04921965,0.5249918
2.56,-0.5235988,-0.02893278,0.5249918
2.57,-0.5235988,-0.008348594,0.5249918
2.58,-0.5235988,0.01211915,0.5249918
2.59,-0.5235988,0.03214575,0.5249918
2.6,-0.5235988,0.05207641,0.5249918
2.61,-0.5235988,0.07170931,0.5249918
2.62,-0.5235988,0.09093364,0.5249918
2.63,-0.5235988,0.1095145,0.5249918
2.64,-0.5235988,0.1273434,0.5249918
